name,overview,first_air_date,rating,vote_count,review
Breaking Bad,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008-01-20,8.919,16065,"Wow....where to start. Not really into ""DRUG"" inspired shows. But this one had me from the start. The only bad about this show was the split seasons when it was a first run show. But now you can go right through to the next episode with out having to wait.....MUST WATCH ! !"
Frieren: Beyond Journey's End,"Decades after her party defeated the Demon King, an old friend's funeral launches the elf wizard Frieren on a journey of self-discovery.",2023-09-29,8.8,516,"This is a special, special show, it affected me in ways I never have been affected before, it made me nostalgic for memories that aren't mine and experiences that aren't real, it drew me in 100%. I'm not as taken in by the Himmel stuff as others but everything else hit the mark, Frieren is a wonderf"
Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",2021-11-06,8.762,5357,"The production team has worked real hard to make something worth the money they were given. The characters are well drawn. And the animation is okay. The effort is obvious seeing the catch lights that are on any character, regardless of lighting.

The story is rather boring, and uniform. Stealing "
When Life Gives You Tangerines,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",2025-03-07,8.761,387,"I honestly underestimated this drama. I didn’t expect it to be this GREAT, this PHENOMENAL, this AMAZING?! ""When Life Gives You Tangerines"" isn’t just a drama; it’s a masterpiece and a masterclass in storytelling.[1] I had high hopes going into it, but after being let down by a few dramas before, I "
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005-02-21,8.758,4471,Amazingly good and great and cool and....(ect)
One Piece,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates.

Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way.

Luffy will do anything to get the One Piece and become King of the Pirates!",1999-10-20,8.723,4983,No reviews
Adventure Time: Fionna & Cake,"Fionna and Cake – with the help of the former Ice King, Simon Petrikov - embark on a multiverse-hopping adventure and journey of self-discovery. All the while a powerful new antagonist determined to track them down and erase them from existence, lurks in the shadows.",2023-08-31,8.7,252,"What a comeback. This show reminded me of how much I used to love Adventure Time because of the excitement, mystery, laughter, crying, and certainly adventure.I'm writing this review when the first two episodes of the show air, so I'll just review them.

The beginning of the first episode shows us"
Fullmetal Alchemist: Brotherhood,"Disregard for alchemy’s laws ripped half of Edward Elric’s limbs from his body and left his brother Alphonse’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric brothers course, but their purpose will remain unchanged and their bond unbreakable.",2009-04-05,8.7,2250,No reviews
The Apothecary Diaries,"Maomao lived a peaceful life with her apothecary father. Until one day, she's sold as a lowly servant to the emperor's palace. But she wasn't meant for a compliant life among royalty. So when imperial heirs fall ill, she decides to step in and find a cure! This catches the eye of Jinshi, a handsome palace official who promotes her. Now, she's making a name for herself solving medical mysteries!",2023-10-22,8.7,426,No reviews
Better Call Saul,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",2015-02-08,8.692,5842,"I better call Saul, 'cause it looks like I'm gonna break bad."
Chernobyl,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,2019-05-06,8.688,7121,"This is one of the best dramatic series I have watched in years. It can be difficult to maintain tension and drama describing true events that the viewer might be already aware of to some extent, but this program manages it nicely. It is a little predictable in how it tells the story, by which I mea"
The Chosen,The life of Christ through the eyes of those who encountered him.,2019-04-21,8.687,623,No reviews
Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",2013-12-02,8.687,10401,"**Rick and Morty** is one of the only TV Shows in the history of TV which was made for _smart-ass Dumb Science Loving Book-worms_ but ended up as a **mainstream Fan Gatherer**. It's pretty great how a show like this accomplished such greatness among the other Dumb hits.

I really wouldn't believe "
Hazbin Hotel,"In attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption.",2024-01-18,8.685,1332,Good show
The Owl House,"An animated fantasy-comedy series that follows Luz, a self-assured teenage girl who accidentally stumbles upon a portal to a magical world where she befriends a rebellious witch, Eda, and an adorably tiny warrior, King. Despite not having magical abilities, Luz pursues her dream of becoming a witch by serving as Eda's apprentice at the Owl House and ultimately finds a new family in an unlikely setting.",2020-01-10,8.7,1707,"Pluses:

sometimes witty; detective and mystery elment; quite aesthetically pleasing animation; characters evolve;

Minuses:

almost all male characters are evil, stupid, lazy or have emotional problems; some plot holes; the LGBT element is sometimes shoved in forcibly;
Plus-minus: references"
Attack on Titan,"100 years ago, the last remnants of humanity were forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. Only the members of the Scouting Legion dared to stray beyond the safety of the walls – but even those brave warriors seldom returned alive. Those within the city clung to the illusion of a peaceful existence until the day that dream was shattered, and their slim chance at survival was reduced to one horrifying choice: kill – or be devoured!",2013-04-07,8.7,6956,Good show
Hunter x Hunter,"To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father.",2011-10-02,8.7,1939,No reviews
Anne with an E,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",2017-03-19,8.7,4795,I really cannot understand for the life of me how any one would really dislike this charming retelling of Anne of green Gable. It seriously beat the other recent adaptation with Martin Sheen in every category. The actors are all pitch perfect in their role. What this version does better then any oth
The Sopranos,"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",1999-01-10,8.7,3109,"I'm late to this, I know, but at the time it came out I was in college and working multiple jobs to pay for it. It came out in that stretch of time that I was practically blind to current culture.

But now I'm watching it, and honestly it's like all those other Mafia movies and TV shows that come "
Kamisama Kiss,"Nanami was just a normal high school girl down on her luck until a stranger’s lips marked her as the new Land God and turned her world upside down. Now, she’s figuring out the duties of a deity with the help of Tomoe, a reformed fox demon who reluctantly becomes her familiar in a contract sealed with a kiss. The new responsibilities—and boys—are a lot to handle, like the crow demon masquerading as a gorgeous pop idol and the adorable snake spirit who’s chosen the newly minted god to be his bride. As the headstrong Tomoe tries to whip her into shape, Nanami finds that love just might have cute, pointed fox ears. With romance in the air, will the human deity be able to prove herself worthy of her new title?",2012-10-02,8.6,974,No reviews
Slam Dunk,"Sakuragi Hanamichi is a junior high punk used to getting into fights and being rejected by girls but upon entering high school he meets the girl of his dreams, Haruko Akagi. He will do anything in order to win her heart including joining the school basketball team that is aiming to conquer the nation lead by Haruko's brother. The problem is that Sakuragi has never played basketball before and a freshman sensation is stealing the spotlight and Haruko's affection from him.",1993-10-16,8.647,932,No reviews
